,headline,shortInformation,story
0,Spotify-backed Sonos ties up with ‘Soundtrack Your Brand’ for business streaming,The Sonos deal could also channel more money to music companies and artists. Commercial streaming commands much higher price than the consumer equivalent -- $30 a month versus the industry standard of $10 a month.,"A Spotify-backed music streaming company will be exposed to hundreds of thousands of potential new customers through a tie-up with U.S. speaker manufacturer Sonos Inc.Soundtrack Your Brand Sweden AB licenses its music catalog of 50 million songs to be played in public venues such as shops and restaurants for about $30 a month. The service will now be available to as many as 300,000 businesses using Sonos speakers, Soundtrack Chief Executive Officer Ola Sars said in an interview.The Sonos deal could also channel more money to music companies and artists. Commercial streaming commands much higher price than the consumer equivalent -- $30 a month versus the industry standard of $10 a month, in this instance, for access to a broadly similar catalog of songs.Store owners are obliged to pay for a commercial music license if they play songs in public, but rates often vary based on complicated factors, such as the square-meter size of a venue. The growth of the music streaming market created an opportunity for companies like Soundtrack to simplify the system with flat-rate packages.The former chief operating officer of Apple Inc.’s Beats Music, who co-founded Soundtrack in 2013, said revenue from businesses taking advantage of the product would be split between the two companies. He declined to specify the ratio of the split.Soundtrack, which counts Adidas and McDonald’s as customers, used Spotify Technology SA’s catalog for its first 18 months of operations, but has since moved to build its own library of music. It now has 50 million songs after the company secured some 6,500 licensing deals with rights holders including Sony/ATV Music Publishing.For Sonos, offering legal streaming music with its business-focused speaker setups could add a recurring revenue stream and help the company diversify from its main business of selling premium home speakers to consumers. Soundtrack estimates that 21.3 million businesses worldwide aren’t paying for licensed music, which at $30 a month for a licensed service represents a shortfall of $7.7 billion.That potential has attracted new players, and rumors that Apple may be getting in to the fray has been circulating since it was reported last year that the company had registered the trademark Apple Music for Business. A push by the iPhone maker could move the market to become more tightly regulated and increase takeover interest for Soundtrack Your Brand, Sars said.“If Apple chooses to do this, others will look at it too, and then it may be a good idea to look at us instead of building it yourself,” Sars said. “I have no interest in selling the company, but that is a good development.”Santa Barbara, California-based Sonos went public in August, and has also partnered with IKEA to offer speakers doubling as furnishing. Soundtrack Your Brand’s investors include Balderton Capital, Northzone and Swedish carrier Telia Co.(Updates with CEO quotes in 8th, 9th paragraph.)To contact the reporter on this story: Niclas Rolander in Stockholm at nrolander@bloomberg.netTo contact the editors responsible for this story: Rebecca Penty at rpenty@bloomberg.net, ;Niklas Magnusson at nmagnusson1@bloomberg.net, Nate Lanxon, Nick RigilloFor more articles like this, please visit us at bloomberg.com©2019 Bloomberg L.P.
First Published:
									May 13, 2019 17:35 IST
"
1,"Amazon’s new machines now box up orders, could eliminate thousands of jobs ","Amazon is famous for its drive to automate as many parts of its business as possible, whether pricing goods or transporting items in its warehouses. But the company is in a precarious position as it considers replacing jobs that have won it subsidies and public goodwill.","Amazon.com Inc is rolling out machines to automate a job held by thousands of its workers: boxing up customer orders.The company started adding technology to a handful of warehouses in recent years, which scans goods coming down a conveyor belt and envelopes them seconds later in boxes custom-built for each item, two people who worked on the project told Reuters.Amazon has considered installing two machines at dozens more warehouses, removing at least 24 roles at each one, these people said. These facilities typically employ more than 2,000 people.That would amount to more than 1,300 cuts across 55 U.S. fulfillment centers for standard-sized inventory. Amazon would expect to recover the costs in under two years, at $1 million per machine plus operational expenses, they said.The plan, previously unreported, shows how Amazon is pushing to reduce labor and boost profits as automation of the most common warehouse task – picking up an item – is still beyond its reach. The changes are not finalized because vetting technology before a major deployment can take a long time.Amazon is famous for its drive to automate as many parts of its business as possible, whether pricing goods or transporting items in its warehouses. But the company is in a precarious position as it considers replacing jobs that have won it subsidies and public goodwill.ALSO READ: Amazon dismisses idea automation will eliminate all its warehouse jobs soon“We are piloting this new technology with the goal of increasing safety, speeding up delivery times and adding efficiency across our network,” an Amazon spokeswoman said in a statement. “We expect the efficiency savings will be re-invested in new services for customers, where new jobs will continue to be created.”Amazon last month downplayed its automation efforts to press visiting its Baltimore fulfillment center, saying a fully robotic future was far off. Its employee base has grown to become one of the largest in the United States, as the company opened new warehouses and raised wages to attract staff in a tight labor market.A key to its goal of a leaner workforce is attrition, one of the sources said. Rather than lay off workers, the person said, the world’s largest online retailer will one day refrain from refilling packing roles. Those have high turnover because boxing multiple orders per minute over 10 hours is taxing work. At the same time, employees that stay with the company can be trained to take up more technical roles.ALSO READ: Meet Scouts, Amazon’s cooler-sized autonomous delivery robotsThe new machines, known as the CartonWrap from Italian firm CMC Srl, pack much faster than humans. They crank out 600 to 700 boxes per hour, or four to five times the rate of a human packer, the sources said. The machines require one person to load customer orders, another to stock cardboard and glue and a technician to fix jams on occasion.CMC declined to comment.Though Amazon has announced it intends to speed up shipping across its Prime loyalty program, this latest round of automation is not focused on speed. “It’s truly about efficiency and savings,” one of the people said.Including other machines known as the “SmartPac,” which the company rolled out recently to mail items in patented envelopes, Amazon’s technology suite will be able to automate a majority of its human packers. Five rows of workers at a facility can turn into two, supplemented by two CMC machines and one SmartPac, the person said.The company describes this as an effort to “re-purpose” workers, the person said.It could not be learned where roles might disappear first and what incentives, if any, are tied to those specific jobs.But the hiring deals that Amazon has with governments are often generous. For the 1,500 jobs Amazon announced last year in Alabama, for instance, the state promised the company $48.7 million over 10 years, its department of commerce said.PICKING CHALLENGEAmazon is not alone in testing CMC’s packing technology. JD.com Inc and Shutterfly Inc have used the machines as well, the companies said, as has Walmart Inc, according to a person familiar with its pilot.Walmart started 3.5 years ago and has since installed the machines in several U.S. locations, the person said. The company declined to comment.Interest in boxing technology sheds light on how the e-commerce behemoths are approaching one of the major problems in the logistics industry today: finding a robotic hand that can grasp diverse items without breaking them.Amazon employs countless workers at each fulfillment center who do variations of this same task. Some stow inventory, while others pick customer orders and still others grab those orders, placing them in the right size box and taping them up.Many venture-backed companies and university researchers are racing to automate this work. While advances in artificial intelligence are improving machines’ accuracy, there is still no guarantee that robotic hands can prevent a marmalade jar from slipping and breaking, or switch seamlessly from picking up an eraser to grabbing a vacuum cleaner.Amazon has tested different vendors’ technology that it may one day use for picking, including from Soft Robotics, a Boston-area startup that drew inspiration from octopus tentacles to make grippers more versatile, one person familiar with Amazon’s experimentation said. Soft Robotics declined to comment on its work with Amazon but said it has handled a wide and ever-changing variety of products for multiple large retailers.Believing that grasping technology is not ready for prime time, Amazon is automating around that problem when packing customer orders. Humans still place items on a conveyor, but machines then build boxes around them and take care of the sealing and labeling. This saves money not just by reducing labor but by reducing wasted packing materials as well.These machines are not without flaws. CMC can only produce so many per year. They need a technician on site who can fix problems as they arise, a requirement Amazon would rather do without, the two sources said. The super-hot glue closing the boxes can pile up and halt a machine.Still other types of automation, like the robotic grocery assembly system of Ocado Group PLC, are the focus of much industry interest.But the boxing machines are already proving helpful to Amazon. The company has installed them in busy warehouses that are driving distance from Seattle, Frankfurt, Milan, Amsterdam, Manchester and elsewhere, the people said.The machines have the potential to automate far more than 24 jobs per facility, one of the sources said. The company is also setting up nearly two dozen more U.S. fulfillment centers for small and non-specialty inventory, according to logistics consultancy MWPVL International, which could be ripe for the machines.This is just a harbinger of automation to come.“A ‘lights out’ warehouse is ultimately the goal,” one of the people said.
First Published:
									May 13, 2019 17:23 IST
"
2,"Game for Peace, Tencent’s PUBG replacement in China, rakes in $14 million in 72 hours","Tencent shut down its test version of global blockbuster PUBG in China last week and shifted users to the similar, more patriotic video game that, unlike PUBG, has regulatory approval to generate revenue.","Tencent Holdings Ltd’s alternative to its video game “PlayerUnknown’s Battlegrounds” (PUBG) in China became the world’s top-grossing mobile battle royale title on Apple’s iOS app store in the first 72 hours of its launch, research showed.US app analytics firm Sensor Tower said on Friday that China’s App Store users had spent more than $14 million on “Game for Peace” through in-app purchases.   The Chinese video gaming leader shut down its test version of global blockbuster PUBG in China last week and shifted users to the similar, more patriotic video game that, unlike PUBG, has regulatory approval to generate revenue.It had waited in vain for more than a year for approval to earn money on PUBG via in-app purchases, having given the gory, South Korean-made game a socialist makeover to meet stringent government rules. ALSO READ: China starts video game approvals after months-long freeze, excludes Tencent’s gamesTencent did not immediately respond to requests for comment on Monday. Sensor Tower also said the sum earned by “Game for Peace” over the first three days was approximately six times the total spent by users on PUBG in other countries where it is available to play.
First Published:
									May 13, 2019 17:12 IST
"
3,69% Indian firms face serious cyber attack risk: Study,"Around 83 % of organisations in the Asia Pacific region do not think about cyber security while embarking on digital transformation projects, according to the study.","Kuala Lumpur, May 13 (IANS) While 69 per cent Indian and 63 per cent Australian companies are most at risk of cyber attack, 35 per cent of organisations in the region suffered at least one cyber security incident in the last 12 months, says a sector study.According to a recent study by leading IT analyst firm Frost &Sullivan, findings of which were released on May 9 here by Forcepoint, a leader in global cyber security, around 83 % of organisations in the Asia Pacific region do not think about cyber security while embarking on digital transformation projects.Although a majority of the organisations (72 %) conduct regular breach assessment to protect themselves against cyber attacks, still 55 % of them continue to be at risk.“It’s clear from this study that many APAC organisations are on the back foot when it comes to enterprise cyber security in the borderless organisation,” said Kenny Yeo, Industry Principal, APAC ICT, Frost &amp; Sullivan.With 95 % of respondents having embarked on a digital transformation journey, adopting emerging technologies, including cloud computing, mobility, Internet of Things, and artificial intelligence/machine learning, the study reveals a big push among APAC organisations for digitization.However, 65 % of respondents acknowledged that they were seriously hampered in execution of digital transformation projects due to rising cyber attacks.One of the key reasons for this is the less mature approach by business leaders to involve cyber security when designing digital transformation projects. It is also evident from the fact that around 83 % of the companies did not consider cyber security until after their digital transformation projects had begun.Cloud has become one of the key components that is leading digital transformation with 69 % of firms adopting cloud. But 54 % of respondents perceive that their cloud service provider will take the full responsibility for security.Normally, security and compliance are a shared responsibility between an organisation and the cloud service provider. This serious misconception around responsibility of security in the cloud is resulting in a higher number of cyber attacks, says the study.The finding suggests the majority of companies have taken measures to protect themselves against cyber incidents, with 72 % of them performing breach assessments at least once per quarter. Despite the readiness, 55 % of organisations were at risk -- either they have encountered a security incident before or they did not do any checks to assess if they have been breached.The Frost &amp; Sullivan study reveals the impact digital transformation is having on each organisation’s risk posture. As more digital technology is built into business like cloud and mobility, it is opening each firm up to more threats.Data exfiltration, impersonation -- both theft of digital identity and online brand impersonation -- as well as loss of intellectual property and malware infection emerged as the top security blind spots for companies rolling out digital transformation. They have high levels of business impact and long recovery times, says the study.Over 400 organisations across Asia Pacific participated in this study, with 100 respondents each from Australia, Hong Kong, India and Singapore. They hailed from key industries like financial services, telecom, manufacturing, energy &amp; utilities, retail, education and health care.While 53 % respondents were from large enterprises, the rest were from mid-sized enterprises and small and medium businesses. Around 75 % respondents were C-level executives and senior IT and security decision makers.
First Published:
									May 13, 2019 17:06 IST
"
4,itel’s next budget smartphone set to compete with Xiaomi Redmi 6A,"itel’s next budget phone will feature 2GB RAM for multitasking, latest Android Pie 9 OS, full screen HD+ display and double security features like fingerprint and face unlock.","China-based Transsion Holdings’ itel Mobile is set to launch a new feature-packed smartphone in India on May 16 that would take Redmi 6A head on. Industry sources told IANS on Monday that the power-packed itel device is likely to be launched below Rs 5,000. On the other hand, the 2GB and 16GB Redmi 6A is currently priced at Rs 5,999.The device may house features like AI dual camera, capable of performing tasks beyond just capturing good pictures, 2GB RAM for multitasking, latest Android Pie 9 OS, full screen HD+ display and double security features like fingerprint and face unlock.Sources said that the upcoming itel device would be a good choice in the budget smartphone segment. The latest itel portfolio includes A44 Air (5.45-inch full screen device), A44 power and A23 -- priced at Rs 4,399, Rs  4,599 and Rs 3,999 respectively.ALSO READ: Xiaomi Redmi 7 ReviewThe latest addition could be a game changer for first time buyers and those consumers who are willing to upgrade from old entry level handsets. The company logged 7 per cent share in the feature phone segment in the first quarter of 2019, according to Counterpoint Research.
First Published:
									May 13, 2019 16:58 IST
"
5,"OnePlus 7 Pro, OnePlus 7 India launch: Reliance Jio offers benefits worth Rs 9,300","OnePlus 7 Pro, OnePlus 7 India launch: Complete details of Reliance Jio’s offers on the latest flagship phones. ","Ahead of OnePlus 7 series launch in India, Reliance Jio has announced benefits worth Rs 9,300 on the latest flagship phones. Reliance Jio’s offer on OnePlus 7 and OnePlus 7 Pro includes an instant cashback of Rs 5,400 on the first prepaid recharge of Rs 299. Users can avail the cashback in the form of 36 vouchers worth Rs 150 each via MyJio application. These vouchers can be redeemed on Rs 299 recharges. With the offer, the plan will be available to users at an effective price of Rs 149. Reliance Jio’s bundle includes 3GB of 4G data per day with 28 days of validity. Users also get unlimited voice calls, messages and access to Jio’s suite of premium apps. Apart from Jio’s cashback offer, users can also avail benefits worth Rs 3,900 from Zoomcar which is offering up to benefits worth Rs 2,000 or 20% (whichever is the lower). EaseMyTrip is giving Rs 1,550 discount on flight tickets and hotel bookings, and 15% discount on bus bookings. Chumbak is offering Rs 350 off on minimum transaction worth Rs 1,699. Reliance Jio subscribers who purchase the OnePlus 7 Pro and OnePlus 7 will be eligible for the company’s ‘Jio Beyond Speed Offer’. New subscribers will also be eligible for the scheme. OnePlus 7 Pro, OnePlus 7 India launchOnePlus 7 series will launch in India on May 14. While OnePlus 7 is said to be incremental upgrade over OnePlus 6T, the Pro model will come with big improvements including HDR 10+ screen, pop-up selfie camera, and triple-rear cameras. 
First Published:
									May 13, 2019 16:39 IST
"
6,"Honor View 20 to Honor Band 4: Top deals, offers on Honor Days sale on Amazon","Honor Days sale kicked off today with big discounts on select handsets, wearables and tablets.","Honor on Monday announced ‘Honor Days’ sale on Amazon India. During four-day sale, Honor is offering up to Rs 10,000 discount on select Honor handsets. The sale also features wearables and tablets. The Honor Days sale kicks off on May 13. Top deals include price drop with additional discounts via exchange offers on handsets such as Honor View20 and Honor 10L. Honor 10 Lite 4GB and 64GB model will be available for Rs 12,999. Honor Play’s 6GB RAM variant will be available for Rs 15,999. Honor 8X, Honor 8C, Honor 7C, Honor 10L, Honor 7A and Honor 9L will also be available at discounted prices. Apart from phones, customers can get Honor Band 4 at Rs 2,099. Check out complete offers below.Honor View206 GB RAM + 128 GB storage – Official price: Rs. 37,999; Offer Price: Rs 32,99 (including Rs 5000 Amazon pay cash back)8 GB RAM + 256 GB storage – MRP: Rs. 50,999; Offer Price: Rs. 40,999（including Rs.5000 Amazon pay cash back)Honor 8X4 GB RAM + 64 GB storage – MRP: Rs 17,999; Offer Price: Rs. 12,9996 GB RAM + 64 GB storage – MRP: Rs. 19,999; Offer Price: Rs. 14,999Honor 8C4 GB RAM + 32 GB storage – MRP: Rs. 12,999; Offer Price: Rs. 9,999Honor Play4 GB RAM + 64 GB storage – MRP: Rs. 21,999; Offer Price: Rs. 13,9996 GB RAM + 64 GB storage – MRP: Rs. 25,999; Offer Price: Rs. 15, 999Honor 7C3 GB RAM + 32 GB storage – MRP: Rs. 12999; Offer Price: Rs. 7,9994 GB RAM + 64 GB storage- MRP: Rs. 14999; Offer Price: Rs. 9,499Honor 9N4 GB RAM + 64 GB storage – MRP: Rs. 13999; Offer Price: Rs. 9,9994 GB RAM + 128 GB storage – MRP: Rs. 19999; Offer Price: Rs. 11,999Honor 9Lite4 GB RAM + 64 GB storage – MRP: Rs 16999; Offer Price: Rs. 9,999 Honor 10Lite3 GB RAM + 32 GB storage – MRP: Rs. 13999; Offer Price: Rs. 10,9994 GB RAM + 64 GB storage – MRP: Rs. 16999; Offer Price: Rs 12,999(At Hindustan Times, we help you stay up-to-date with latest trends and products. Hindustan Times has affiliate partnership, so we may get a part of the revenue when you make a purchase.)
First Published:
									May 13, 2019 15:30 IST
"
7,"Samsung Galaxy M40 price in India, key specifications revealed",Samsung Galaxy M40 is set to be the most expensive Galaxy M phone so far. Here’s everything we know about the smartphone so far. ,"Samsung is working on a premium Galaxy M smartphone. Dubbed as Galaxy M40, the smartphone is likely to launch in India early next month. At about Rs 25,000, Samsung Galaxy M40 will be the most expensive Galaxy M phone so far. It will also be Samsung’s first Galaxy M phone to run on Qualcomm’s Snapdragon processor. All Galaxy M10, M20 and M30 are powered by the company’s in-house Exynos processor. Samsung is also likely to introduce some flagship features on Galaxy M40, starting with the “Hole-in-Display”, a technology that’s currently found on the South Korean tech giant’s flagship S10 series, according to IANS. According to earlier reports, Samsung Galaxy M40 will come with a 5,000mAh battery, up to 6GB of RAM, AMOLED display, and triple-rear cameras. Samsung India launched Galaxy M30 in two storage variants in February, starting at Rs 14,990. M30’s 6GB+128GB variant was priced at Rs 17,990 and the 4GB+64GB variant was available for Rs 14,990. Samsung launched the Galaxy M10 and M20 smartphones in January.(With inputs from IANS)(At Hindustan Times, we help you stay up-to-date with latest trends and products. Hindustan Times has affiliate partnership, so we may get a part of the revenue when you make a purchase.)
First Published:
									May 13, 2019 14:20 IST
"
8,Android Q: Google is working on a ‘car crash’ detection feature in new OS,Android Q Beta 3 features a new Google app called ‘Safety Hub’ with the package name com.google.android.apps.safetyhub. ,"Google is testing automatic car crash detection for Pixel phones on Android Q operating system (OS), the XDA Developers has reported.Android Q Beta 3 features a new Google app called ‘Safety Hub’ with the package name com.google.android.apps.safetyhub. “The functionality from this app is Pixel-exclusive, as is made evident with the Manifest declaration,” the report said late on Monday.ALSO READ: Google Pixel 3a XL First ImpressionsThough it hints at automatic detection of a car crash, it is not clear how exactly that would be achieved.  The tech giant could resort to using data from the accelerometer and the microphone, but even that may not be fool-proof in its detection, the report added.The company would also have to ensure that false positives are kept to a minimum.
First Published:
									May 13, 2019 13:54 IST
"
9,"HTC Exodus 1s blockchain phone announced, set to cost $250-300",HTC aims to democratise blockchain and cryptocurrency with an affordable Exodus 1s smartphone. ,"HTC has announced a new version of its blockchain phone, HTC Exodus 1s. The phone will go on sale in the third quarter of this year. As the name implies, the new phone is a cheaper version of the main variant HTC Exodus 1 launched in October last year. The phone is expected to be priced between $250 and $300. The new phone, however, comes with several new features including full node capabilities. It will also come with Bitcoin blockchain. With Exodus 1s, HTC is hoping to create a bigger decentralised network – necessary to push the adoption of cryptocurrencies such as bitcoin. A cheaper price point is expected to help HTC reach out to newer users interested in cryptocurrencies. “We are democratizing access to the technology for a free world. Full nodes are the most important ingredient in the resilience of the Bitcoin network, and we have lowered the barrier to entry for any person to run a node, which is simply a computer, mobile in our case, participating in a global Bitcoin network that propagates transactions and blocks everywhere, which is the foundation and fundamental definition of a peer-to-peer cash system,” said HTC.HTC said it will be revealing full specifications and other features of the phone in coming weeks. The predecessor features a 6-inch HD+ display. It runs on Snapdragon 845 processor with 6GB of RAM and 128GB built-in storage. Other key specifications of the Exodus 1 include 3,500mAh battery, IP68 certification, and 16-megapixel dual rear cameras. HTC Exodus 1s will join a very small set of blockchain phones which are available in select markets. Last year, Switzerland-based Sirin Labs launched the world’s first commercial blockchain phone, Finney. Sinagpore-based Pundi X offers a dedicated blockchain-focused operating system.
First Published:
									May 13, 2019 13:21 IST
"
